title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
THE CHRISTMAS ROOM,"Anderson, Catherine",Hardcover,$19.00 ,$2.50 ,24,9.7804E+12,Berkley Publishing Group,9/26/17,"7.56"" l x 5.30"" w x 1.37""","['Fiction', 'Romance', 'Fiction', 'Family Life', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9780399586316B/the-christmas-room
THE CHRISTMAS SPIRIT,"Macomber, Debbie",Paperback,$12.99 ,$2.25 ,89,9.78141E+12,Sphere,10/12/23,"7.70"" l x 4.96"" w x 0.86""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781408726556B/the-christmas-spirit
THE CHRISTMAS SPIRIT,"Macomber, Debbie",Pocket Books,$8.99 ,$2.25 ,95,9.78059E+12,Ballantine Books,9/26/23,"6.92"" l x 4.22"" w x 0.76""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9780593500125B/the-christmas-spirit
THE CHRISTMAS STAR,"VanLiere, Donna",Hardcover,$17.99 ,$2.25 ,145,9.78125E+12,St. Martin's Press,10/16/18,"7.43"" l x 5.26"" w x 0.87""","['Fiction', 'Contemporary', 'Fiction', 'Holidays', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250163905B/the-christmas-star
"THE CHRISTMAS VILLAGE (SOMERSET LAKE, BK. 2)","Rains, Annie",Pocket Books,$8.99 ,$1.69 ,936,9.78154E+12,Forever,9/27/22,"6.75"" l x 4.09"" w x 0.98""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781538723791B/the-christmas-village-somerset-lake-bk-2
THE CHRISTMAS WAGER,"Cassidy, Holly",Paperback,$17.00 ,$3.00 ,4,9.78059E+12,G. P. Putnam's Sons,9/26/23,"7.85"" l x 5.08"" w x 0.90""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9780593544051B/the-christmas-wager
CHRISTMAS AT THE CUPCAKE CAFE,"Colgan, Jenny",Hardcover,$28.99 ,$1.88 ,191,9.78006E+12,Avon Books,9/20/22,"9.16"" l x 6.19"" w x 1.30""","['Fiction', 'Holidays', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063119260B/christmas-at-the-cupcake-cafe
CHRISTMAS AT THE CUPCAKE CAFE,"Colgan, Jenny",Paperback,$16.99 ,$2.12 ,1000+,9.78006E+12,Avon Books,9/20/22,"7.70"" l x 4.92"" w x 0.86""","['Fiction', 'Holidays', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063095663B/christmas-at-the-cupcake-cafe
CHRISTMAS AT THE LAKE,"Hughes, Anita",Paperback,$18.00 ,$1.50 ,1000+,9.78125E+12,St. Martin's Griffin,9/26/23,"8.22"" l x 5.37"" w x 0.93""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781250871923B/christmas-at-the-lake
"CHRISTMAS IN HARMONY HARBOR (HARMONY HARBOR, BK. 9)","Mason, Debbie",Pocket Books,$7.99 ,$2.00 ,515,9.78154E+12,Forever,10/1/19,"6.75"" l x 4.25"" w x 1.25""","['Fiction', 'Romance', 'Fiction', 'Holidays', 'Fiction', 'Sagas']",https://www.bookdepot.com/Store/Details/9781538731710B/christmas-in-harmony-harbor-harmony-harbor-bk
CHRISTMAS IN VERMONT,"Hughes, Anita",Pocket Books,$8.99 ,$1.69 ,579,9.78125E+12,St. Martin's Paperback,10/26/21,"6.96"" l x 4.81"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781250801838B/christmas-in-vermont
CIRCLING BACK TO YOU,"Tieu, Julie",Paperback,$15.99 ,$2.75 ,21,9.78006E+12,Avon Books,7/12/22,"7.97"" l x 5.30"" w x 0.95""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063069848B/circling-back-to-you
THE CIRCUS TRAIN,"Parikh, Amita",Paperback,$18.62 ,$2.44 ,184,9.78144E+12,HarperCollins Publishers,1/15/22,"8.99"" l x 6.13"" w x 1.29""","['Fiction', 'Romance', 'Fiction', 'Coming of Age', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781443464994B/the-circus-train
"CITY OF JASMINE (CITY OF JASMINE, BK. 2)","Raybourn, Deanna",Paperback,$18.99 ,$2.44 ,26,9.78078E+12,Harlequin,2/25/14,"8.23"" l x 5.37"" w x 1.06""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Mystery & Detective']",https://www.bookdepot.com/Store/Details/9780778316213B/city-of-jasmine-city-of-jasmine-bk-2
CITY OF SCHEMES (A COUNTERFEIT LADY NOVEL),"Thompson, Victoria",Hardcover,$26.00 ,$2.63 ,7,9.78059E+12,Berkley Publishing Group,1/1/20,"8.31"" l x 5.36"" w x 1.25""","['Fiction', 'Historical', 'Fiction', 'Mystery & Detective', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593197509B/city-of-schemes-a-counterfeit-lady-novel
"CITY OF SCHEMES (COUNTERFEIT LADY, BK. 4)","Thompson, Victoria",Pocket Books,$8.99 ,$1.25 ,68,9.78059E+12,Berkley Publishing Group,11/16/21,"6.77"" l x 4.11"" w x 1.02""","['Fiction', 'Historical', 'Fiction', 'Mystery & Detective', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593197523B/city-of-schemes-counterfeit-lady-bk-4
CLOSE ENOUGH TO TOUCH,"Oakley, Colleen",Pocket Books,$9.99 ,$1.75 ,7,9.78198E+12,Pocket Books,3/30/21,"7.48"" l x 4.17"" w x 1.01""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Medical']",https://www.bookdepot.com/Store/Details/9781982160456B/close-enough-to-touch
CLOSE TO YOU,"Dodd, Christina",Pocket Books,$7.99 ,$1.75 ,2,9.78074E+12,Pocket Books,1/1/16,"6.80"" l x 4.35"" w x 1.29""","['Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9780743456197B/close-to-you
CODENAME CHARMING,"Parker, Lucy",Paperback,$18.99 ,$3.25 ,13,9.78006E+12,Avon Books,8/15/23,"7.95"" l x 5.27"" w x 0.99""","['Fiction', 'Romance', 'Fiction', 'Humorous', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063040106B/codename-charming
"THE COFFEE CORNER (AMISH MARKETPLACE, BK. 3)","Clipston, Amy",Pocket Books,$9.99 ,$2.50 ,20,9.78084E+12,Zondervan,7/11/23,"6.90"" l x 4.61"" w x 1.00""","['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780840715791B/the-coffee-corner-amish-marketplace-bk-3
"COLD CURSES (HEIRS OF CHICAGOLAND, BK. 5)","Neill, Chloe",Paperback,$17.00 ,$3.00 ,202,9.78059E+12,Berkley Publishing Group,11/14/23,"7.97"" l x 5.33"" w x 0.96""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593549827B/cold-curses-heirs-of-chicagoland-bk-5
"COLD NOSE, WARM HEART (FUR HAVEN DOG PARK, BK. 1)","Wells, Mara",Pocket Books,$7.99 ,$2.00 ,15,9.78149E+12,Sourcebooks,1/28/20,"6.80"" l x 4.13"" w x 1.13""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781492698586B/cold-nose-warm-heart-fur-haven-dog-park-bk-1
"COLD-BLOODED LIAR (THE SAN DIEGO CASE FILES, BK. 1)","Rose, Karen",Pocket Books,$8.99 ,$1.69 ,42,9.78059E+12,Berkley Publishing Group,6/27/23,"6.71"" l x 4.05"" w x 1.27""","['Fiction', 'Romance', 'Fiction', 'Mystery & Detective', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9780593548844B/cold-blooded-liar-the-san-diego-case-files-bk
THE COLLECTOR,"Roberts, Nora",Paperback,$17.00 ,$3.00 ,5,9.78043E+12,Berkley Trade,3/3/15,"8.29"" l x 5.64"" w x 1.24""","['Fiction', 'Thrillers', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780425278314B/the-collector
"COLTERS' PROMISE (COLTERS' LEGACY SERIES, BK. 4)","Banks, Maya",Pocket Books,$7.99 ,$1.00 ,12,9.78043E+12,Berkley Publishing Group,6/5/12,"6.76"" l x 4.14"" w x 0.85""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780425258620B/colters-promise-colters-legacy-series-bk-4
COLTON GENTRY'S THIRD ACT,"Zentner, Jeff",Hardcover,$30.00 ,$4.00 ,100,9.78154E+12,Grand Central Publishing,4/30/24,"9.27"" l x 6.25"" w x 1.37""","['Fiction', 'Romance', 'Fiction', 'Coming of Age']",https://www.bookdepot.com/Store/Details/9781538756652B/colton-gentrys-third-act
COME NOVEMBER,"Lord, Scott",Hardcover,$28.95 ,$3.75 ,1,9.79889E+12,Greenleaf Book Group,7/18/23,"9.25"" l x 6.50"" w x 1.50""","['Fiction', 'Political', 'Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9798886450521B/come-november
THE COMEBACK SUMMER,"Brady, Ali",Paperback,$17.00 ,$2.25 ,44,9.78059E+12,Berkley Publishing Group,1/1/23,"7.95"" l x 5.20"" w x 1.07""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593440179B/the-comeback-summer
THE COMEBACK,"Chu, Lily",Paperback,$16.99 ,$3.00 ,9,9.78173E+12,Sourcebooks,5/9/23,"8.18"" l x 5.47"" w x 1.18""","['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781728242651B/the-comeback
COMPLICATIONS,"Steel, Danielle",Hardcover,$28.99 ,$1.88 ,1000+,9.78198E+12,Delacorte Press,8/17/21,"9.63"" l x 6.40"" w x 1.06""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781984821492B/complications
COMPLICATIONS (LARGE PRINT,"Steel, Danielle",Paperback,$31.00 ,$5.25 ,242,9.78059E+12,Random House Large Print,8/17/21,"9.22"" l x 6.14"" w x 0.87""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780593414743B/complications-large-print
"CONQUER THE KINGDOM (A GARGOYLE QUEEN NOVEL, BK. 3)","Estep, Jennifer",Paperback,$19.99 ,$3.50 ,164,9.78006E+12,HarperCollins Publishers,3/7/23,"7.99"" l x 5.27"" w x 1.14""","['Fiction', 'Fantasy', 'Fiction', 'Romance', 'Fiction', 'Action & Adventure']",https://www.bookdepot.com/Store/Details/9780063023468B/conquer-the-kingdom-a-gargoyle-queen-novel-bk
CORNISH CLOUDS AND SILVER LINING SKIES,"McNamara, Ali",Paperback,$10.99 ,$2.00 ,46,9.78075E+12,Sphere,1/1/22,"7.80"" l x 5.00"" w x 1.02""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780751581010B/cornish-clouds-and-silver-lining-skies
CORONATION YEAR,"Robson, Jennifer",Paperback,$19.99 ,$2.63 ,490,9.78006E+12,William Morrow & Company,4/4/23,"7.94"" l x 5.39"" w x 0.97""","['Fiction', 'Mystery & Detective', 'Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063074149B/coronation-year
CORONATION YEAR (LARGE PRINT),"Robson, Jennifer",Paperback,$27.99 ,$4.75 ,31,9.78006E+12,HarperLuxe,4/4/23,"9.07"" l x 6.06"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780063297159B/coronation-year-large-print
A COSMIC KIND OF LOVE,"Young, Samantha",Paperback,$17.00 ,$3.00 ,185,9.78059E+12,Berkley Publishing Group,10/18/22,"7.89"" l x 5.13"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9780593438619B/a-cosmic-kind-of-love
THE COTTAGE ON GLASS LAKE,"Pine, Amy",Paperback,$16.99 ,$1.50 ,385,9.78154E+12,Forever,6/27/23,"7.97"" l x 5.21"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Family Life', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781538718612B/the-cottage-on-glass-lake
"COUNTDOWN (EXTREME MEASURES, BK. 4)","Eason, Lynette",Paperback,$17.99 ,$3.00 ,21,9.7808E+12,Revell,8/1/23,"8.47"" l x 5.51"" w x 0.96""","['Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9780800737368B/countdown-extreme-measures-bk-4
"A COUNTRY CHRISTMAS (HONEYCOTE, BK. 1)","Henry, Veronica",Paperback,$12.99 ,$2.25 ,11,9.7814E+12,Orion Publishing,10/26/23,"7.64"" l x 4.97"" w x 1.34""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781398715219B/a-country-christmas-honeycote-bk-1
"COURAGE IN THE STORM (A JOHNS MILL AMISH ROMANCE, BK. 3)","Blount, Laurel",Pocket Books,$9.99 ,$2.25 ,83,9.78059E+12,Berkley Publishing Group,4/25/23,"6.75"" l x 4.13"" w x 0.97""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780593200247B/courage-in-the-storm-a-johns-mill-amish-roman
"COURAGE, MY LOVE","Beck, Kristin",Paperback,$17.00 ,$1.37 ,97,9.78059E+12,Penguin Random House Company,4/13/21,"7.99"" l x 5.29"" w x 1.07""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593101568B/courage-my-love
THE COURSE OF HONOUR,"Davis, Lindsey",Paperback,$14.95 ,$1.88 ,56,9.78031E+12,St. Martin's Griffin,5/1/09,"8.51"" l x 5.51"" w x 0.84""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780312556167B/the-course-of-honour
COURTING CALEB (THE AMISH MAIL ORDER GROOMS),"Long, Kelly",Pocket Books,$8.99 ,$2.25 ,18,9.78142E+12,Zebra Books,4/26/22,"7.02"" l x 4.80"" w x 0.78""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781420151671B/courting-caleb-the-amish-mail-order-grooms
COURTING SAMIRA,"Awad, Amal",Paperback,$18.99 ,$2.44 ,404,9.78006E+12,HarperCollins Publisher,11/7/23,"8.00"" l x 5.50"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Cultural Heritage', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063317673B/courting-samira
"THE COWBOY (BITTER CREEK, BK. 1)","Johnston, Joan",Pocket Books,$8.99 ,$1.13 ,104,9.78044E+12,Dell,2/1/22,"6.78"" l x 4.06"" w x 1.20""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780440223801B/the-cowboy-bitter-creek-bk-1
"A COWBOY COUNTRY CHRISTMAS (CREEDENCE HORSE RESCUE, BK. 6)","Marts, Jennie",Pocket Books,$8.99 ,$2.25 ,3,9.78173E+12,Sourcebooks,10/10/23,"6.97"" l x 4.79"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Westerns', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781728226194B/a-cowboy-country-christmas-creedence-horse-re
"COWBOY FIREFIGHTER CHRISTMAS KISS (SMOKIN' HOT COWBOYS, BK. 5)","Redford, Kim",Pocket Books,$7.99 ,$2.00 ,2,9.78149E+12,Sourcebooks,10/29/19,"6.58"" l x 3.65"" w x 1.03""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9781492671619B/cowboy-firefighter-christmas-kiss-smokin-hot
"COWBOY HONOR (LONGHORN CANYON, BK. 2)","Brown, Carolyn",Pocket Books,$8.99 ,$2.25 ,564,9.78154E+12,Forever,9/25/18,"6.74"" l x 4.11"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9781538744888B/cowboy-honor-longhorn-canyon-bk-2
A COWBOY KIND OF LOVE (HEART OF TEXAS),"Grant, Donna",Pocket Books,$7.99 ,$1.50 ,21,9.78125E+12,St. Martin's Publishing,4/27/21,"6.76"" l x 4.20"" w x 0.87""","['Fiction', 'Romance', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9781250250094B/a-cowboy-kind-of-love-heart-of-texas
"A COWBOY LIKE YOU (HEART OF TEXAS, BK. 4)","Grant, Donna",Pocket Books,$7.99 ,$1.75 ,8,9.78125E+12,St. Martin's Press,11/26/19,"6.75"" l x 4.16"" w x 0.90""","['Fiction', 'Romance', 'Fiction', 'Westerns', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781250250049B/a-cowboy-like-you-heart-of-texas-bk-4
"THE COWBOY SAYS I DO (TYING THE KNOT IN TEXAS, BK. 1)","Crush, Dylann",Pocket Books,$7.99 ,$1.50 ,8,9.78059E+12,Berkley Publishing Group,8/4/20,"6.71"" l x 4.13"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Animals', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9780593101643B/the-cowboy-says-i-do-tying-the-knot-in-texas
"CRAZY ABOUT A COWBOY (TYING THE KNOT IN TEXAS, BK. 3)","Crush, Dylann",Pocket Books,$7.99 ,$1.50 ,4,9.78059E+12,Berkley Publishing Group,5/25/21,"6.74"" l x 4.18"" w x 1.04""","['Fiction', 'Romance', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9780593197479B/crazy-about-a-cowboy-tying-the-knot-in-texas
"CRITICAL THREAT (EXTREME MEASURES, BK. 3)","Eason, Lynette",Paperback,$17.99 ,$3.00 ,2,9.7808E+12,Revell,1/3/23,"8.48"" l x 5.52"" w x 1.02""","['Fiction', 'Romance', 'Fiction', 'Suspense', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780800737344B/critical-threat-extreme-measures-bk-3
"CROSS BREED (A NOVEL OF THE BREEDS, BK. 32)","Leigh, Lora",Hardcover,$26.00 ,$2.63 ,6,9.78043E+12,Berkley Publishing Group,3/27/18,"9.18"" l x 6.05"" w x 1.21""","['Fiction', 'Romance', 'Fiction', 'Science Fiction']",https://www.bookdepot.com/Store/Details/9780425265482B/cross-breed-a-novel-of-the-breeds-bk-32
THE CROWNING GLORY OF CALLA LILY PONDER,"Wells, Rebecca",Paperback,$15.99 ,$1.25 ,30,9.78006E+12,Harper Collins,4/1/10,"8.02"" l x 5.19"" w x 1.20""","['Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780060930622B/the-crowning-glory-of-calla-lily-ponder
"CRUSHING DEPTHS (COASTAL GUARDIANS, BK.2)","Pettrey, Dani",Paperback,$15.99 ,$2.75 ,22,9.78076E+12,Bethany House,6/30/20,"8.50"" l x 5.50"" w x 0.92""","['Fiction', 'Suspense', 'Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764230851B/crushing-depths-coastal-guardians-bk2
CRY OF METAL & BONE (EARTHSINGER CHRONICLES BK. 3),"Penelope, L",Paperback,$19.99 ,$3.25 ,4,9.78125E+12,Griffin,8/11/20,"8.26"" l x 5.30"" w x 1.45""","['Fiction', 'Fantasy', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781250148117B/cry-of-metal-bone-earthsinger-chronicles-bk-3
"A CUP OF SILVER LININGS (DOVE POND, BK. 2)","Hawkins, Karen",Pocket Books,$9.99 ,$1.88 ,20,9.78167E+12,Pocket Books,9/27/22,"6.93"" l x 4.71"" w x 1.28""","['Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781668004746B/a-cup-of-silver-linings-dove-pond-bk-2
"A CUP OF SILVER LININGS (THE DOVE POND NC SERIES, BK. 2)","Hawkins, Karen",Paperback,$16.99 ,$2.25 ,52,9.78198E+12,Gallery Books,7/6/21,"8.25"" l x 5.40"" w x 0.99""","['Fiction', 'Romance', 'Fiction', 'Family Life', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9781982105563B/a-cup-of-silver-linings-the-dove-pond-nc-seri
THE CURIOUS HEART OF AILSA RAE,"Butland, Stephanie",Paperback,$20.99 ,$1.75 ,2,9.78125E+12,St. Martin's Griffin,10/29/19,"8.26"" l x 5.35"" w x 1.07""","['Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250217011B/the-curious-heart-of-ailsa-rae
A DADDY THING,"Reeves, Kendra",Paperback,$16.95 ,$3.00 ,16,9.78165E+12,Urban Books,7/25/23,"8.15"" l x 5.48"" w x 1.09""","['Fiction', 'African American', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781645565161B/a-daddy-thing
DADDY'S GIRLS,"Steel, Danielle",Hardcover,$28.99 ,$1.88 ,1000+,9.7804E+12,Delacorte Press,6/9/20,"9.56"" l x 6.40"" w x 1.36""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780399179624B/daddys-girls
THE DANCE TREE,"Hargrave, Kiran Millwood",Hardcover,$27.99 ,$2.81 ,25,9.78006E+12,HarperCollins Publishers,3/14/23,"9.27"" l x 6.20"" w x 1.08""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063274778B/the-dance-tree
"DANCE UPON THE AIR (THREE SISTERS ISLAND TRILOGY, BK. 1)","Roberts, Nora",Paperback,$10.69 ,$1.31 ,54,9.78075E+12,Piatkus Books,1/1/10,"7.74"" l x 4.97"" w x 1.04""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780749952778B/dance-upon-the-air-three-sisters-island-trilo
"DANCE OF THE GODS (CIRCLE TRILOGY, BK. 2)","Roberts, Nora",Paperback,$22.00 ,$3.75 ,11,9.78043E+12,Penguin Group,5/10/16,"8.30"" l x 5.55"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Mystery & Detective', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780425280218B/dance-of-the-gods-circle-trilogy-bk-2
"DANCE WITH THE DEVIL (MERCENARY LIBRARIANS, BK. 3)","Rocha, Kit",Hardcover,$30.99 ,$4.00 ,14,9.78125E+12,Tor Books,8/16/22,"9.56"" l x 6.31"" w x 1.28""","['Fiction', 'Science Fiction', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250781499B/dance-with-the-devil-mercenary-librarians-bk
"DANCE WITH THE DEVIL (MERCENARY LIBRARIANS, BK. 3)","Rocha, Kit",Paperback,$21.99 ,$1.63 ,107,9.78125E+12,Tor Books,8/16/22,"9.19"" l x 6.04"" w x 1.21""","['Fiction', 'Science Fiction', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250209405B/dance-with-the-devil-mercenary-librarians-bk
THE DANDELION FIELD,"Springer, Kathryn",Paperback,$15.99 ,$2.50 ,65,9.78031E+12,Zondervan,1/27/15,"8.41"" l x 5.39"" w x 0.99""","['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780310339632B/the-dandelion-field
THE DANE OF MY EXISTENCE,"Martin, Jessica",Paperback,$17.00 ,$2.25 ,130,9.78059E+12,Berkley Publishing Group,7/4/23,"8.15"" l x 5.47"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593437452B/the-dane-of-my-existence
THE DANGEROUS GENTLEMAN,"London, Julia",Pocket Books,$5.99 ,$1.50 ,1,9.78044E+12,Dell Publishing Company,4/1/00,"6.79"" l x 4.15"" w x 1.25""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780440235613B/the-dangerous-gentleman
"THE DANGERS OF DECEIVING A VISCOUNT (THE DESPERATE DEBUTANTES, BK. 3)","London, Julia",Pocket Books,$9.99 ,$1.25 ,19,9.78167E+12,Pocket Books,11/29/22,"6.93"" l x 4.75"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781668004760B/the-dangers-of-deceiving-a-viscount-the-despe
"DARK ILLUSION (CARPATHIAN SERIES, BK. 33)","Feehan, Christine",Pocket Books,$7.99 ,$1.00 ,27,9.78198E+12,Penguin Random House Company,8/4/20,"6.79"" l x 4.20"" w x 1.18""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781984803481B/dark-illusion-carpathian-series-bk-33
DARK PRINCE,"Feehan, Christine",Pocket Books,$9.99 ,$2.50 ,41,9.78006E+12,Avon Books,11/29/11,"6.75"" l x 4.11"" w x 1.16""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780062019554B/dark-prince
"DARK SONG (CARPATHIAN, BK. 34)","Feehan, Christine",Hardcover,$28.00 ,$2.25 ,96,9.78059E+12,Berkley Hardcover,9/1/20,"9.59"" l x 6.28"" w x 1.52""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593099834B/dark-song-carpathian-bk-34
"DARK TAROT (A CARPATHIAN NOVEL, BK. 35)","Feehan, Christine",Pocket Books,$8.99 ,$1.75 ,42,9.78059E+12,Berkley Publishing Group,9/27/22,"6.71"" l x 4.08"" w x 1.35""","['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780593333181B/dark-tarot-a-carpathian-novel-bk-35
"DARK TAROT (CARPATHIAN NOVELS, BK. 35)","Feehan, Christine",Hardcover,$28.00 ,$2.62 ,352,9.78059E+12,Berkley Hardcover,11/9/21,"9.39"" l x 6.30"" w x 1.67""","['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780593333174B/dark-tarot-carpathian-novels-bk-35
DARK TAROT (CARPATHIAN),"Feehan, Christine",Paperback,$12.99 ,$2.25 ,3,9.78035E+12,Piatkus Books,9/27/22,"8.00"" l x 5.00"" w x 1.50""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780349428314B/dark-tarot-carpathian
"DARK TAROT (DARK CARPATHIAN, BK. 35)","Feehan, Christine",Hardcover,$25.99 ,$3.50 ,30,9.78035E+12,Piatkus Books,11/9/21,"9.48"" l x 6.30"" w x 1.78""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780349428321B/dark-tarot-dark-carpathian-bk-35
"DARK WHISPER (A CARPATHIAN NOVEL, BK. 36)","Feehan, Christine",Hardcover,$28.00 ,$3.75 ,114,9.78059E+12,Berkley Hardcover,10/11/22,"9.23"" l x 6.24"" w x 1.61""","['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593439166B/dark-whisper-a-carpathian-novel-bk-36
