begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2023-07-10T00:00:00Z,189.260000,188.610000,189.990000,187.035000,58943112,reg,False,AAPL
2023-07-11T00:00:00Z,189.160000,188.080000,189.300000,186.600000,46638119,reg,False,AAPL
2023-07-12T00:00:00Z,189.680000,189.770000,191.700000,188.470000,60750248,reg,False,AAPL
2023-07-13T00:00:00Z,190.500000,190.540000,191.190000,189.780000,41342338,reg,False,AAPL
2023-07-14T00:00:00Z,190.230000,190.690000,191.179900,189.630000,41616242,reg,False,AAPL
2023-07-17T00:00:00Z,191.900000,193.990000,194.320000,191.810000,49805749,reg,False,AAPL
2023-07-18T00:00:00Z,193.350000,193.730000,194.330000,192.415000,48353774,reg,False,AAPL
2023-07-19T00:00:00Z,193.100000,195.100000,198.230000,192.650000,80507323,reg,False,AAPL
2023-07-20T00:00:00Z,195.090000,193.130000,196.470000,192.495000,59581196,reg,False,AAPL
2023-07-21T00:00:00Z,194.100000,191.940000,194.970000,191.230000,71951683,reg,False,AAPL
2023-07-24T00:00:00Z,193.410000,192.750000,194.910000,192.250000,45505097,reg,False,AAPL
2023-07-25T00:00:00Z,193.330000,193.620000,194.440000,192.915000,37283201,reg,False,AAPL
2023-07-26T00:00:00Z,193.670000,194.500000,195.640000,193.320000,47471868,reg,False,AAPL
2023-07-27T00:00:00Z,196.020000,193.220000,197.200000,192.550000,47460180,reg,False,AAPL
2023-07-28T00:00:00Z,194.670000,195.830000,196.626000,194.140000,48291443,reg,False,AAPL
2023-07-31T00:00:00Z,196.060000,196.455000,196.490000,195.260000,38824113,reg,False,AAPL
2023-08-01T00:00:00Z,196.235000,195.605000,196.730000,195.280000,35281426,reg,False,AAPL
2023-08-02T00:00:00Z,195.040000,192.580000,195.180000,191.850700,50389327,reg,False,AAPL
2023-08-03T00:00:00Z,191.570000,191.170000,192.370000,190.690000,62243282,reg,False,AAPL
2023-08-04T00:00:00Z,185.520000,181.990000,187.380000,181.920000,115956841,reg,False,AAPL
2023-08-07T00:00:00Z,182.130000,178.850000,183.130000,177.350000,97576069,reg,False,AAPL
2023-08-08T00:00:00Z,179.690000,179.800000,180.270000,177.580000,67823003,reg,False,AAPL
2023-08-09T00:00:00Z,180.870000,178.190000,180.930000,177.010000,60378492,reg,False,AAPL
2023-08-10T00:00:00Z,179.480000,177.970000,180.750000,177.600000,54686851,reg,False,AAPL
2023-08-11T00:00:00Z,177.320000,177.790000,178.620000,176.550000,52036672,reg,False,AAPL
2023-08-14T00:00:00Z,177.970000,179.460000,179.690000,177.305000,43675627,reg,False,AAPL
2023-08-15T00:00:00Z,178.880000,177.450000,179.480000,177.050000,43622593,reg,False,AAPL
2023-08-16T00:00:00Z,177.130000,176.570000,178.540000,176.500000,46964857,reg,False,AAPL
2023-08-17T00:00:00Z,177.140000,174.000000,177.505400,173.480000,66062882,reg,False,AAPL
2023-08-18T00:00:00Z,172.300000,174.490000,175.100000,171.960000,61172150,reg,False,AAPL
2023-08-21T00:00:00Z,175.070000,175.840000,176.130000,173.735000,46311879,reg,False,AAPL
2023-08-22T00:00:00Z,177.060000,177.230000,177.680000,176.250000,42084245,reg,False,AAPL
2023-08-23T00:00:00Z,178.520000,181.120000,181.550000,178.325000,52722752,reg,False,AAPL
2023-08-24T00:00:00Z,180.674000,176.380000,181.104000,176.010000,54945798,reg,False,AAPL
2023-08-25T00:00:00Z,177.380000,178.610000,179.150000,175.820000,51449594,reg,False,AAPL
2023-08-28T00:00:00Z,180.090000,180.190000,180.590000,178.545000,43820697,reg,False,AAPL
2023-08-29T00:00:00Z,179.695000,184.120000,184.900000,179.500000,53003948,reg,False,AAPL
2023-08-30T00:00:00Z,184.940000,187.650000,187.850000,184.740000,60813888,reg,False,AAPL
2023-08-31T00:00:00Z,187.840000,187.870000,189.120000,187.480000,60794467,reg,False,AAPL
2023-09-01T00:00:00Z,189.485000,189.460000,189.920000,188.280000,45766503,reg,False,AAPL
2023-09-05T00:00:00Z,188.280000,189.700000,189.980000,187.610000,45280027,reg,False,AAPL
2023-09-06T00:00:00Z,188.400000,182.910000,188.850000,181.470000,81755816,reg,False,AAPL
2023-09-07T00:00:00Z,175.180000,177.560000,178.210000,173.540000,112488803,reg,False,AAPL
2023-09-08T00:00:00Z,178.350000,178.180000,180.239000,177.790000,65602066,reg,False,AAPL
2023-09-11T00:00:00Z,178.180000,179.360000,180.300000,177.340000,58953052,reg,False,AAPL
2023-09-12T00:00:00Z,179.490000,176.300000,180.130000,174.820000,90370192,reg,False,AAPL
2023-09-13T00:00:00Z,176.510000,174.210000,177.300000,173.980000,84267928,reg,False,AAPL
2023-09-14T00:00:00Z,174.000000,175.740000,176.100000,173.580000,60895757,reg,False,AAPL
2023-09-15T00:00:00Z,176.480000,175.010000,176.495000,173.820000,109259461,reg,False,AAPL
2023-09-18T00:00:00Z,176.480000,177.970000,179.380000,176.170000,67257573,reg,False,AAPL
2023-09-19T00:00:00Z,177.520000,179.070000,179.630000,177.130000,51826941,reg,False,AAPL
2023-09-20T00:00:00Z,179.260000,175.490000,179.695000,175.400000,58436181,reg,False,AAPL
2023-09-21T00:00:00Z,174.550000,173.930000,176.300000,173.860000,63149116,reg,False,AAPL
2023-09-22T00:00:00Z,174.670000,174.790000,177.079000,174.050000,56725385,reg,False,AAPL
2023-09-25T00:00:00Z,174.200000,176.080000,176.970000,174.150000,46172740,reg,False,AAPL
2023-09-26T00:00:00Z,174.820000,171.960000,175.200000,171.660000,64588945,reg,False,AAPL
2023-09-27T00:00:00Z,172.620000,170.430000,173.040000,169.050000,66921808,reg,False,AAPL
2023-09-28T00:00:00Z,169.340000,170.690000,172.030000,167.620000,56294419,reg,False,AAPL
2023-09-29T00:00:00Z,172.020000,171.210000,173.070000,170.341000,51861083,reg,False,AAPL
2023-10-02T00:00:00Z,171.220000,173.750000,174.300000,170.930000,52164535,reg,False,AAPL
2023-10-03T00:00:00Z,172.255000,172.400000,173.630000,170.820000,49594613,reg,False,AAPL
2023-10-04T00:00:00Z,171.090000,173.660000,174.210000,170.970000,53020286,reg,False,AAPL
2023-10-05T00:00:00Z,173.790000,174.910000,175.450000,172.680000,48527918,reg,False,AAPL
2023-10-06T00:00:00Z,173.800000,177.490000,177.990000,173.180000,57266675,reg,False,AAPL
2023-10-09T00:00:00Z,176.810000,178.990000,179.050000,175.800000,42390772,reg,False,AAPL
2023-10-10T00:00:00Z,178.100000,178.390000,179.720000,177.950000,43698019,reg,False,AAPL
2023-10-11T00:00:00Z,178.200000,179.800000,179.850000,177.600000,47551098,reg,False,AAPL
2023-10-12T00:00:00Z,180.070000,180.710000,182.340000,179.040000,56743119,reg,False,AAPL
2023-10-13T00:00:00Z,181.420000,178.850000,181.930000,178.140000,51456082,reg,False,AAPL
2023-10-16T00:00:00Z,176.750000,178.720000,179.075000,176.510000,52516984,reg,False,AAPL
2023-10-17T00:00:00Z,176.645000,177.150000,178.420000,174.800000,57549350,reg,False,AAPL
2023-10-18T00:00:00Z,175.580000,175.840000,177.575000,175.110000,54764375,reg,False,AAPL
2023-10-19T00:00:00Z,176.040000,175.460000,177.840000,175.190000,59302863,reg,False,AAPL
2023-10-20T00:00:00Z,175.310000,172.880000,175.420000,172.640000,64244028,reg,False,AAPL
2023-10-23T00:00:00Z,170.910000,173.000000,174.010000,169.930000,55980109,reg,False,AAPL
2023-10-24T00:00:00Z,173.050000,173.440000,173.670000,171.450000,43816644,reg,False,AAPL
2023-10-25T00:00:00Z,171.880000,171.100000,173.060000,170.650000,57156962,reg,False,AAPL
2023-10-26T00:00:00Z,170.370000,166.890000,171.377500,165.670000,70625258,reg,False,AAPL
2023-10-27T00:00:00Z,166.910000,168.220000,168.960000,166.190000,58499129,reg,False,AAPL
2023-10-30T00:00:00Z,169.020000,170.290000,171.170000,168.870000,51130955,reg,False,AAPL
2023-10-31T00:00:00Z,169.350000,170.770000,170.900000,167.900000,44846017,reg,False,AAPL
2023-11-01T00:00:00Z,171.000000,173.970000,174.230000,170.120000,56934906,reg,False,AAPL
