cover,title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories
https://images.bookdepot.com/covers/large/isbn978166/9781668004807-l.jpg,"'TWAS THE NIGHT AFTER CHRISTMAS (THE HELLIONS OF HALSTEAD HALL, BK. 6)","Jeffries, Sabrina",Pocket Books,$9.99,$2.50,528,9781668004807,Pocket Books,N/A,"7.50"" l x 4.25"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978149/9781496729927-l.jpg,THE TWELVE DAYS OF SNOWBALL,"McKanagh, Kristen",Paperback,$15.95,$2.75,21,9781496729927,Kensington Publishing Corporation,N/A,"8.22"" l x 5.51"" w x 0.82""","['Fiction', 'Romance', 'Fiction', 'Family Life', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978059/9780593542651-l.jpg,TWELVE MONTHS AND A DAY,"Young, Louisa",Paperback,$17.00,$3.00,58,9780593542651,G. P. Putnam's Sons,N/A,"8.01"" l x 5.16"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Occult', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978006/9780062688187-l.jpg,THE TWELVE-MILE STRAIGHT (LARGE PRINT),"Henderson, Eleanor",Paperback,$36.00,$6.25,2,9780062688187,HarperLuxe,N/A,"9.01"" l x 6.06"" w x 1.77""","['Fiction', 'Historical', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978149/9781496737052-l.jpg,TWICE A QUINCEAÑERA,"Méndez, Yamile Saied",Paperback,$16.95,$3.00 $2.25,173,9781496737052,Kensington Publishing Corporation,N/A,"8.23"" l x 5.48"" w x 0.99""","['Fiction', 'Romance', 'Fiction', 'Humorous']"
https://images.bookdepot.com/covers/large/isbn978125/9781250244765-l.jpg,THE TWISTED SWORD (POLDARK),"Graham, Winston",Paperback,$17.99,$3.00 $2.12,2,9781250244765,St. Martin's Griffin,N/A,"8.23"" l x 5.34"" w x 1.68""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Sagas']"
https://images.bookdepot.com/covers/large/isbn978153/9781538732786-l.jpg,"TWO CHANCES WITH YOU (THE ROME SERIES, BK. 2)","Moccia, Federico",Paperback,$16.99,$3.00 $1.87,11,9781538732786,Grand Central Publishing,N/A,"7.96"" l x 5.23"" w x 1.16""","['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', 'Sagas']"
https://images.bookdepot.com/covers/large/isbn978125/9781250780669-l.jpg,"TWO KISSES FOR CHRISTMAS: A 2-IN-1 CHRISTMAS COLLECTION (THE SNOW GLOBE, THE NINE LIVES OF CHRISTMAS)","Roberts, Sheila",Pocket Books,$8.99,$2.25 $1.50,303,9781250780669,St. Martin's Press,N/A,"6.69"" l x 4.08"" w x 1.01""","['Fiction', 'Romance', 'Fiction', 'Holidays', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978059/9780593498279-l.jpg,THE TWO LIVES OF LYDIA BIRD,"Silver, Josie",Paperback,$8.99,$1.50 $1.12,71,9780593498279,Ballantine Books,N/A,"6.84"" l x 4.15"" w x 1.37""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Humorous']"
https://images.bookdepot.com/covers/large/isbn978038/9780385696913-l.jpg,TWO FOR THE ROAD,"Guertin, Chantel",Paperback,$16.99,$3.00 $2.87,142,9780385696913,Doubleday Canada,N/A,"8.23"" l x 5.45"" w x 1.13""","['Fiction', 'Romance']"
